dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,pred_cnt
28,4,1,9,0,5,1,2,0.619167,0.69,0.164179,7623.965
02,1,0,2,0,3,1,2,0.26,0.775417,0.264308,1687.855
11,3,0,9,0,0,0,1,0.6533329999999999,0.71375,0.11505399999999999,4709.005
13,2,0,6,0,1,1,1,0.635,0.494583,0.30535,4542.97
23,2,0,4,0,6,0,2,0.46,0.887917,0.230725,2834.755
28,2,0,3,0,1,1,1,0.264348,0.302174,0.212204,2070.855
02,4,0,10,0,0,0,2,0.356667,0.791667,0.22201300000000002,3424.28
17,3,1,9,0,1,1,2,0.580833,0.734583,0.15174200000000002,6422.09
23,1,1,12,0,0,0,1,0.245833,0.515417,0.13308299999999998,2575.41
28,1,1,2,0,2,1,1,0.359167,0.395833,0.193417,4218.19
15,2,0,6,0,3,1,1,0.626667,0.471667,0.16791199999999998,4950.475
24,3,1,6,0,0,0,1,0.743333,0.479167,0.145525,6921.66
26,4,0,9,0,1,1,2,0.649167,0.848333,0.1107,4185.935
16,4,1,12,0,0,0,2,0.3625,0.83875,0.100742,4517.83
05,3,0,7,0,2,1,1,0.746667,0.590417,0.12625799999999998,4543.895
30,4,1,10,0,2,1,2,0.318182,0.8254549999999999,0.213009,4324.77
22,3,0,8,0,1,1,1,0.691667,0.47,0.27675,4618.905
02,3,1,9,0,0,0,2,0.696667,0.815,0.06407080000000001,5855.045
28,2,1,3,0,3,1,1,0.484167,0.48125,0.291671,5857.95
28,4,1,10,0,0,0,2,0.4775,0.694583,0.398008,6365.21
10,2,1,6,0,0,0,1,0.726667,0.538333,0.133721,6833.385
21,2,1,5,0,1,1,2,0.598333,0.81125,0.233204,4479.905
14,4,1,11,0,3,1,1,0.289167,0.552083,0.199625,5359.645
19,2,1,6,0,2,1,1,0.688333,0.69,0.148017,6976.905
19,4,0,11,0,6,0,1,0.329167,0.502083,0.224496,3537.305
28,2,1,5,1,1,0,1,0.7125,0.67625,0.196521,6579.02
10,4,1,12,0,1,1,2,0.43583299999999997,0.925,0.190308,4208.165
12,4,0,10,0,3,1,3,0.543333,0.90625,0.24815,2672.755
03,1,1,3,0,6,0,2,0.414167,0.62125,0.161079,4354.94
06,3,1,9,0,4,1,2,0.696667,0.810417,0.142421,6609.72
09,3,1,9,0,0,0,1,0.61,0.5475,0.224496,7208.51
26,3,0,7,0,2,1,1,0.771667,0.540833,0.200258,4366.835
17,3,0,7,0,0,0,1,0.719167,0.604167,0.245033,4540.525
02,3,0,9,0,5,1,2,0.643333,0.727083,0.139929,4430.81
12,2,1,4,0,4,1,1,0.3975,0.46625,0.290429,5920.485
13,1,0,2,0,0,0,1,0.31652199999999997,0.457391,0.260883,1946.19
25,3,1,7,0,3,1,1,0.724167,0.45,0.1648,7098.765
30,2,0,4,0,6,0,1,0.4725,0.503333,0.235075,4179.66
02,3,1,7,0,1,1,1,0.781667,0.447083,0.195267,6562.255
17,1,1,3,0,6,0,2,0.514167,0.755833,0.110704,6374.705
14,4,0,10,0,5,1,2,0.550833,0.71625,0.223883,4365.74
17,4,0,11,0,4,1,2,0.341667,0.575833,0.30536199999999997,3349.43
02,1,0,1,0,0,0,2,0.363478,0.696087,0.24853899999999998,1630.155
08,2,1,6,0,5,1,1,0.649167,0.467917,0.17538299999999998,7429.045
07,2,0,5,0,6,0,1,0.52,0.54125,0.16045,5103.085
26,1,0,1,0,3,1,3,0.2175,0.8625,0.29385,1002.765
13,4,1,11,0,2,1,2,0.343333,0.662917,0.342046,4900.495
10,2,0,5,0,2,1,1,0.5325,0.489167,0.11567100000000001,4710.68
23,4,1,9,0,0,0,1,0.529167,0.46708299999999997,0.22325799999999998,7123.485
17,3,0,9,0,6,0,2,0.491667,0.718333,0.189675,4465.125
04,2,0,5,0,3,1,2,0.414167,0.737083,0.328996,2523.105
07,4,0,10,0,5,1,1,0.510833,0.684167,0.0223917,4943.32
23,4,0,10,0,0,0,1,0.421667,0.74125,0.0995125,3605.075
22,4,1,10,0,1,1,1,0.4875,0.568333,0.08148330000000001,6991.535
20,2,1,6,0,3,1,1,0.7825,0.592083,0.11381199999999998,6503.16
17,1,0,1,1,1,0,2,0.175833,0.5375,0.194017,1173.78
31,4,1,10,0,3,1,2,0.3575,0.666667,0.166667,4942.19
09,2,1,6,0,6,0,1,0.710833,0.437083,0.144287,7274.98
12,4,1,11,1,1,0,1,0.485,0.741667,0.173517,6454.525
13,3,1,7,0,5,1,2,0.731667,0.485833,0.08085,7214.97
27,3,0,7,0,3,1,1,0.775,0.402917,0.18346300000000001,4851.415
11,4,1,12,0,2,1,2,0.353333,0.5966670000000001,0.296037,5351.18
28,3,1,7,0,6,0,1,0.755833,0.613333,0.15735,6822.42
14,3,0,9,0,3,1,1,0.673333,0.697083,0.1673,4793.495
19,4,1,12,0,3,1,1,0.3325,0.625417,0.184092,5242.605
11,2,1,4,0,3,1,1,0.348696,0.46956499999999995,0.295274,4963.02
19,1,1,2,0,0,0,2,0.28,0.515833,0.253112,3040.315
24,4,1,9,0,1,1,1,0.514167,0.492917,0.142404,7210.105
16,1,1,2,0,4,1,2,0.31666700000000003,0.7529170000000001,0.091425,3738.57
27,1,1,1,0,5,1,2,0.425,0.74125,0.342667,4692.3
31,1,0,12,0,6,0,1,0.41,0.615833,0.220154,2366.56
07,3,0,8,0,0,0,1,0.7425,0.7529170000000001,0.201487,4521.375
19,2,0,4,0,2,1,2,0.505833,0.665833,0.157971,3524.56
10,4,0,12,0,6,0,1,0.275,0.5075,0.233221,3370.635
27,3,1,6,0,3,1,1,0.6975,0.36,0.271775,7209.63
08,4,1,10,1,1,0,2,0.383333,0.709583,0.189679,4157.45
25,3,0,8,0,4,1,2,0.684167,0.771667,0.210833,4376.45
30,3,0,8,0,2,1,1,0.639167,0.548333,0.12500799999999998,4701.71
22,1,0,12,0,4,1,2,0.423333,0.7575,0.047275,2914.665
14,3,0,7,0,4,1,1,0.680833,0.47625,0.24066700000000002,4914.945
15,4,1,12,0,6,0,1,0.324167,0.650417,0.10635,5470.51
05,3,1,8,0,0,0,1,0.769167,0.6525,0.290421,6655.125
17,1,1,1,0,2,1,2,0.37304299999999996,0.716087,0.34913,3748.575
25,2,0,3,0,5,1,1,0.264167,0.495,0.230725,2144.565
14,3,0,8,0,0,0,2,0.676667,0.8175,0.222633,4327.25
12,1,0,1,0,3,1,1,0.172727,0.599545,0.304627,1485.52
27,4,0,10,0,4,1,2,0.47,0.812917,0.19776300000000002,4036.625
09,1,0,1,0,0,0,1,0.13833299999999998,0.434167,0.36195,1107.28
24,3,0,6,0,5,1,1,0.724167,0.573333,0.222025,4872.915
25,3,1,8,0,6,0,2,0.661667,0.712917,0.244408,6598.635
02,2,0,6,0,4,1,1,0.715,0.305,0.29228699999999996,4682.26
24,2,0,4,0,0,0,2,0.581667,0.810833,0.192175,4067.115
15,2,1,5,0,2,1,2,0.611667,0.794583,0.147392,5796.25
12,3,1,7,0,4,1,1,0.7158329999999999,0.529583,0.146775,7271.77
14,2,1,4,0,6,0,1,0.495,0.5029170000000001,0.190917,6314.235
09,1,1,1,0,1,1,2,0.224167,0.701667,0.0989,2662.31
06,4,0,10,0,4,1,1,0.494167,0.620833,0.134954,4465.335
03,3,0,8,0,3,1,2,0.731667,0.6575,0.13558299999999998,4588.255
02,4,0,11,0,3,1,1,0.3775,0.71875,0.08209169999999999,3643.625
28,2,0,4,0,4,1,2,0.6175,0.700833,0.32090799999999997,4124.29
24,2,1,5,0,4,1,1,0.655,0.716667,0.172896,6578.375
29,4,0,11,0,2,1,2,0.458333,0.830833,0.258092,3321.47
29,3,0,6,0,3,1,1,0.728333,0.497917,0.261821,4659.53
03,3,0,9,0,6,0,1,0.669167,0.716667,0.185325,5035.645
26,3,1,8,0,0,0,2,0.6533329999999999,0.845833,0.228858,5146.675
14,4,1,10,0,0,0,1,0.521667,0.640417,0.27861199999999997,6930.85
15,3,0,8,0,1,1,1,0.665833,0.712083,0.208954,4545.99
26,2,1,5,0,6,0,1,0.6925,0.7325,0.198992,6567.16
24,1,1,2,0,5,1,2,0.4075,0.7375,0.237567,4223.1
21,2,0,3,0,1,1,2,0.430435,0.737391,0.288783,2541.07
08,3,1,8,0,3,1,2,0.75,0.672917,0.1107,7048.965
03,3,0,7,0,0,0,2,0.716667,0.6825,0.228858,4510.445
16,4,0,10,0,0,0,1,0.511667,0.486667,0.281717,4415.895
13,4,0,12,0,2,1,1,0.2825,0.59,0.14055,3454.33
18,4,1,11,0,0,0,1,0.3425,0.692917,0.22761199999999998,4358.295
03,2,0,4,0,0,0,1,0.378333,0.48,0.182213,2388.74
22,3,1,7,0,0,0,2,0.6675,0.7625,0.09392080000000001,5981.155
10,3,0,9,0,6,0,1,0.66,0.75375,0.153608,4837.76
05,4,0,10,0,3,1,1,0.538333,0.647917,0.17725,4602.65
05,1,1,1,0,4,1,1,0.265833,0.524167,0.129987,3122.095
31,1,0,1,0,1,1,2,0.180833,0.60375,0.187192,1391.86
12,2,1,6,0,2,1,2,0.6533329999999999,0.833333,0.21454600000000001,4720.675
30,4,1,11,0,5,1,1,0.298333,0.649583,0.05847080000000001,5000.055
29,3,0,7,0,5,1,1,0.838333,0.5425,0.17413800000000001,3681.295
09,4,0,11,0,3,1,1,0.4,0.758333,0.06219580000000001,3980.275
02,2,0,5,0,1,1,2,0.549167,0.73,0.183454,4446.14
15,4,0,12,0,4,1,2,0.4225,0.634167,0.268042,3732.575
02,2,1,6,0,6,0,1,0.583333,0.549167,0.18656199999999998,7200.17
19,3,0,7,0,2,1,1,0.776667,0.650417,0.1306,4322.365
